scenario,x_value,method,metric,runs,value_mean,value_std,objective_mean,selected_mass_mean,mean_packet_error_mean,matching_work_units_mean,fractional_mass_ratio_mean,runtime_seconds_mean
digit_iterations,8,Paper-Wireless-PER,digit_accuracy,3,0.7588765236,0.0219654285,247.7534170301,12.0000000000,0.0161271132,2340.0000000000,0.0000000000,0.0000612667
digit_iterations,8,Soft-Entropy-KKT(tau=1),digit_accuracy,3,0.8081611023,0.0093905910,254.4444666184,12.0000000000,0.0229907109,729180.0000000000,0.9999997855,0.0011831333
digit_iterations,10,Continuous-LP(HiGHS),digit_accuracy,3,0.8039215686,0.0322263822,247.0740910412,12.0000000000,0.0146864059,32580.0000000000,0.0000000000,0.0022446667
digit_iterations,10,Hybrid-Score-Greedy(alpha=0.25),digit_accuracy,3,0.8362480127,0.0181732148,253.7547185308,12.0000000000,0.0218374079,23128.5335573393,0.0000000000,0.0014372000
digit_iterations,10,LP-Relax+Projection,digit_accuracy,3,0.8039215686,0.0322263822,247.0740910412,12.0000000000,0.0146864059,2340.0000000000,0.0000000000,0.0051053333
digit_iterations,10,Paper-Hungarian,digit_accuracy,3,0.8039215686,0.0322263822,247.0740910412,12.0000000000,0.0146864059,2340.0000000000,0.0000000000,0.0000443333
digit_iterations,10,Paper-OptUser-RandomRB,digit_accuracy,3,0.5924748278,0.1545995371,572.2964224340,8.3333333333,0.0826595418,180.0000000000,0.0000000000,0.0000535000
digit_iterations,10,Paper-RandomUserRB,digit_accuracy,3,0.8044515103,0.0208907296,402.6513661411,12.0000000000,0.1809652475,180.0000000000,0.0000000000,0.0000267667
digit_iterations,10,Paper-Wireless-PER,digit_accuracy,3,0.8261791203,0.0475945482,247.3769705050,12.0000000000,0.0143199385,2340.0000000000,0.0000000000,0.0000202000
digit_iterations,10,Soft-Entropy-KKT(tau=1),digit_accuracy,3,0.8924218336,0.0092094049,254.1254858195,12.0000000000,0.0219180491,729180.0000000000,0.9999997507,0.0016244333
digit_iterations,12,Continuous-LP(HiGHS),digit_accuracy,3,0.7970323264,0.0124733464,249.1727233743,12.0000000000,0.0173026822,32580.0000000000,0.0000000000,0.0023294334
digit_iterations,12,Hybrid-Score-Greedy(alpha=0.25),digit_accuracy,3,0.8404875464,0.0054043662,255.9920394370,12.0000000000,0.0242533872,23128.5335573393,0.0000000000,0.0013661667
digit_iterations,12,LP-Relax+Projection,digit_accuracy,3,0.7970323264,0.0124733464,249.1727233743,12.0000000000,0.0173026822,2340.0000000000,0.0000000000,0.0026425000
digit_iterations,12,Paper-Hungarian,digit_accuracy,3,0.7970323264,0.0124733464,249.1727233743,12.0000000000,0.0173026822,2340.0000000000,0.0000000000,0.0000455667
digit_iterations,12,Paper-OptUser-RandomRB,digit_accuracy,3,0.6565977742,0.0603715025,612.2978262841,7.6666666667,0.0689686647,180.0000000000,0.0000000000,0.0000543000
digit_iterations,12,Paper-RandomUserRB,digit_accuracy,3,0.7853736089,0.0216044696,394.4494627277,11.6666666667,0.1477727153,180.0000000000,0.0000000000,0.0000274333
digit_iterations,12,Paper-Wireless-PER,digit_accuracy,3,0.8436671966,0.0470246753,249.4567196673,12.0000000000,0.0169043556,2340.0000000000,0.0000000000,0.0000245333
digit_iterations,12,Soft-Entropy-KKT(tau=1),digit_accuracy,3,0.8775834658,0.0127846720,255.8613538579,12.0000000000,0.0241373552,729180.0000000000,0.9999997453,0.0018604667
digit_rbs,5,Continuous-LP(HiGHS),digit_accuracy,3,0.5082140965,0.0962453510,783.5860049855,5.0000000000,0.0134783973,5700.0000000000,0.0000000000,0.0013909666
digit_rbs,5,Hybrid-Score-Greedy(alpha=0.25),digit_accuracy,3,0.6332803392,0.1008867607,789.4033358797,5.0000000000,0.0284071619,9542.1614017872,0.0000000000,0.0011844667
digit_rbs,5,LP-Relax+Projection,digit_accuracy,3,0.5082140965,0.0962453510,783.5860049855,5.0000000000,0.0134783973,450.0000000000,0.0000000000,0.0020263667
digit_rbs,5,Paper-Hungarian,digit_accuracy,3,0.5082140965,0.0962453510,783.5860049855,5.0000000000,0.0134783973,450.0000000000,0.0000000000,0.0000332667
digit_rbs,5,Paper-OptUser-RandomRB,digit_accuracy,3,0.4742978273,0.0601104354,796.6815983999,5.0000000000,0.0462331231,75.0000000000,0.0000000000,0.0000526333
digit_rbs,5,Paper-RandomUserRB,digit_accuracy,3,0.4944356121,0.1931010429,860.4566947791,4.6666666667,0.1495162326,75.0000000000,0.0000000000,0.0001037000
digit_rbs,5,Paper-Wireless-PER,digit_accuracy,3,0.4838367779,0.1143373027,783.6946440875,5.0000000000,0.0129124530,450.0000000000,0.0000000000,0.0000280000
digit_rbs,5,Soft-Entropy-KKT(tau=1),digit_accuracy,3,0.7313195548,0.0462053253,787.1190615186,5.0000000000,0.0224836851,400075.0000000000,0.9999997923,0.0007993667
digit_rbs,9,Continuous-LP(HiGHS),digit_accuracy,3,0.7291997880,0.0313786356,475.6638722144,9.0000000000,0.0133050972,18360.0000000000,0.0000000000,0.0019987333
digit_rbs,9,Hybrid-Score-Greedy(alpha=0.25),digit_accuracy,3,0.7874933757,0.0363077756,482.3670792727,9.0000000000,0.0219233436,17290.3701056019,0.0000000000,0.0013057667
digit_rbs,9,LP-Relax+Projection,digit_accuracy,3,0.7291997880,0.0313786356,475.6638722144,9.0000000000,0.0133050972,1350.0000000000,0.0000000000,0.0020624667
digit_rbs,9,Paper-Hungarian,digit_accuracy,3,0.7291997880,0.0313786356,475.6638722144,9.0000000000,0.0133050972,1350.0000000000,0.0000000000,0.0000369000
digit_rbs,9,Paper-OptUser-RandomRB,digit_accuracy,3,0.6597774245,0.1156754834,600.8738566640,8.0000000000,0.0983608379,135.0000000000,0.0000000000,0.0000610667
digit_rbs,9,Paper-RandomUserRB,digit_accuracy,3,0.7329093800,0.0660240163,582.5551816856,9.0000000000,0.1642453688,135.0000000000,0.0000000000,0.0000313667
digit_rbs,9,Paper-Wireless-PER,digit_accuracy,3,0.7180710122,0.0245037160,476.5181814098,9.0000000000,0.0126371042,1350.0000000000,0.0000000000,0.0000193666
digit_rbs,9,Soft-Entropy-KKT(tau=1),digit_accuracy,3,0.8298887122,0.0318758946,481.5700844749,9.0000000000,0.0207848467,576135.0000000000,0.9999998359,0.0010142666
digit_rbs,12,Continuous-LP(HiGHS),digit_accuracy,3,0.8023317435,0.0076060944,245.7574193896,12.0000000000,0.0140007034,32580.0000000000,0.0000000000,0.0021481000
digit_rbs,12,Hybrid-Score-Greedy(alpha=0.25),digit_accuracy,3,0.8797032326,0.0119912120,253.1554798087,12.0000000000,0.0205166037,23128.5335573393,0.0000000000,0.0013538000
digit_rbs,12,LP-Relax+Projection,digit_accuracy,3,0.8023317435,0.0076060944,245.7574193896,12.0000000000,0.0140007034,2340.0000000000,0.0000000000,0.0027342667
digit_rbs,12,Paper-Hungarian,digit_accuracy,3,0.8023317435,0.0076060944,245.7574193896,12.0000000000,0.0140007034,2340.0000000000,0.0000000000,0.0001031334
digit_rbs,12,Paper-OptUser-RandomRB,digit_accuracy,3,0.6793852676,0.0251149880,572.8810478597,8.3333333333,0.0832967243,180.0000000000,0.0000000000,0.0000494333
digit_rbs,12,Paper-RandomUserRB,digit_accuracy,3,0.8267090620,0.0395224257,352.9998064156,11.6666666667,0.1035079510,180.0000000000,0.0000000000,0.0000252334
digit_rbs,12,Paper-Wireless-PER,digit_accuracy,3,0.8304186539,0.0255143680,246.0373871542,12.0000000000,0.0132487991,2340.0000000000,0.0000000000,0.0000182667
digit_rbs,12,Soft-Entropy-KKT(tau=1),digit_accuracy,3,0.8500264971,0.0232692087,252.8691087097,12.0000000000,0.0208782122,729180.0000000000,0.9999998320,0.0013277667
digit_rbs,15,Continuous-LP(HiGHS),digit_accuracy,3,0.8929517753,0.0049144772,21.7407508134,15.0000000000,0.0186138585,50850.0000000000,0.0000000000,0.0023146000
digit_rbs,15,Hybrid-Score-Greedy(alpha=0.25),digit_accuracy,3,0.8913619502,0.0039657206,38.3235976916,15.0000000000,0.0327882411,28983.1007680238,0.0000000000,0.0012904333
digit_rbs,15,LP-Relax+Projection,digit_accuracy,3,0.8929517753,0.0049144772,21.7407508134,15.0000000000,0.0186138585,3600.0000000000,0.0000000000,0.0035160334
digit_rbs,15,Paper-Hungarian,digit_accuracy,3,0.8929517753,0.0049144772,21.7407508134,15.0000000000,0.0186138585,3600.0000000000,0.0000000000,0.0000481333
digit_rbs,15,Paper-OptUser-RandomRB,digit_accuracy,3,0.7180710122,0.0702927273,508.8949743258,9.0000000000,0.0597143851,225.0000000000,0.0000000000,0.0000915334
digit_rbs,15,Paper-RandomUserRB,digit_accuracy,3,0.8812930578,0.0120612684,129.9647334859,15.0000000000,0.1113774715,225.0000000000,0.0000000000,0.0000350000
digit_rbs,15,Paper-Wireless-PER,digit_accuracy,3,0.8929517753,0.0049144772,21.7407508134,15.0000000000,0.0186138585,3600.0000000000,0.0000000000,0.0000222334
digit_rbs,15,Soft-Entropy-KKT(tau=1),digit_accuracy,3,0.8924218336,0.0041727652,30.2046778932,14.9923640338,0.0253584445,900225.0000000000,0.9999997792,0.0051576667
digit_rbs,20,Continuous-LP(HiGHS),digit_accuracy,3,0.8987811341,0.0065335602,10.6772016110,15.0000000000,0.0091392937,90300.0000000000,0.0000000000,0.0023435666
digit_rbs,20,Hybrid-Score-Greedy(alpha=0.25),digit_accuracy,3,0.8977212507,0.0061345188,12.4667321054,15.0000000000,0.0106788082,38768.6456071488,0.0000000000,0.0015229334
digit_rbs,20,LP-Relax+Projection,digit_accuracy,3,0.8987811341,0.0065335602,10.6772016110,15.0000000000,0.0091392937,4800.0000000000,0.0000000000,0.0032633000
digit_rbs,20,Paper-Hungarian,digit_accuracy,3,0.8987811341,0.0065335602,10.6772016110,15.0000000000,0.0091392937,4800.0000000000,0.0000000000,0.0000557667
digit_rbs,20,Paper-OptUser-RandomRB,digit_accuracy,3,0.7689454160,0.0625825032,436.8377274276,10.6666666667,0.1256244046,300.0000000000,0.0000000000,0.0000588334
digit_rbs,20,Paper-RandomUserRB,digit_accuracy,3,0.8807631160,0.0046803184,170.0920404331,14.0000000000,0.0829120096,300.0000000000,0.0000000000,0.0000264667
digit_rbs,20,Paper-Wireless-PER,digit_accuracy,3,0.8987811341,0.0065335602,10.6772016110,15.0000000000,0.0091392937,4800.0000000000,0.0000000000,0.0000200000
digit_rbs,20,Soft-Entropy-KKT(tau=1),digit_accuracy,3,0.8982511924,0.0072274413,20.2785435034,14.9999999997,0.0173582797,1225300.0000000000,0.9999998092,0.0005954333
digit_users,10,Continuous-LP(HiGHS),digit_accuracy,3,0.8860625331,0.0172861753,21.6210327695,10.0000000000,0.0185199717,14520.0000000000,0.0000000000,0.0020648667
digit_users,10,Hybrid-Score-Greedy(alpha=0.25),digit_accuracy,3,0.8860625331,0.0198286030,24.8998362751,10.0000000000,0.0213311696,15348.8268714730,0.0000000000,0.0017719667
digit_users,10,LP-Relax+Projection,digit_accuracy,3,0.8860625331,0.0172861753,21.6210327695,10.0000000000,0.0185199717,1320.0000000000,0.0000000000,0.0021612333
digit_users,10,Paper-Hungarian,digit_accuracy,3,0.8860625331,0.0172861753,21.6210327695,10.0000000000,0.0185199717,1320.0000000000,0.0000000000,0.0000337334
digit_users,10,Paper-OptUser-RandomRB,digit_accuracy,3,0.6968733439,0.0850651361,370.3269610313,7.3333333333,0.0770964376,120.0000000000,0.0000000000,0.0000509000
digit_users,10,Paper-RandomUserRB,digit_accuracy,3,0.8452570217,0.0175281774,195.6675045740,10.0000000000,0.1675707246,120.0000000000,0.0000000000,0.0000278333
digit_users,10,Paper-Wireless-PER,digit_accuracy,3,0.8860625331,0.0172861753,21.6210327695,10.0000000000,0.0185199717,1320.0000000000,0.0000000000,0.0000168333
digit_users,10,Soft-Entropy-KKT(tau=1),digit_accuracy,3,0.8860625331,0.0182349237,26.9022378419,9.9999999999,0.0230384329,484120.0000000000,0.9999998847,0.0011151667
digit_users,12,Continuous-LP(HiGHS),digit_accuracy,3,0.8998410175,0.0038942603,28.6237671667,12.0000000000,0.0244926706,20880.0000000000,0.0000000000,0.0019729000
digit_users,12,Hybrid-Score-Greedy(alpha=0.25),digit_accuracy,3,0.8971913090,0.0071493045,34.3625918512,12.0000000000,0.0294344617,18456.4692002077,0.0000000000,0.0015022333
digit_users,12,LP-Relax+Projection,digit_accuracy,3,0.8998410175,0.0038942603,28.6237671667,12.0000000000,0.0244926706,1872.0000000000,0.0000000000,0.0020150666
digit_users,12,Paper-Hungarian,digit_accuracy,3,0.8998410175,0.0038942603,28.6237671667,12.0000000000,0.0244926706,1872.0000000000,0.0000000000,0.0000476333
digit_users,12,Paper-OptUser-RandomRB,digit_accuracy,3,0.7005829359,0.1661060836,529.9433934919,7.0000000000,0.0706828104,144.0000000000,0.0000000000,0.0000603333
digit_users,12,Paper-RandomUserRB,digit_accuracy,3,0.8802331744,0.0032667801,162.6033163858,12.0000000000,0.1392946760,144.0000000000,0.0000000000,0.0000306000
digit_users,12,Paper-Wireless-PER,digit_accuracy,3,0.8998410175,0.0038942603,28.6237671667,12.0000000000,0.0244926706,1872.0000000000,0.0000000000,0.0000207666
