scenario,x_value,method,runs,objective_mean,objective_gap_pct_mean,selected_users_mean,expected_successful_samples_mean,mean_packet_error_mean,convergence_gap_mean,fl_quality_mean,runtime_seconds_mean,runtime_seconds_std
rbs,15,Hungarian,5,28.2224380219,0.0000000000,15.0000000000,1542.5775619781,0.0224482410,28.2224380219,0.9820797607,0.0000870800,0.0000399850
rbs,15,Hybrid-Score-Greedy(alpha=0.25),5,39.0656919723,39.7910375258,15.0000000000,1531.7343080277,0.0395067366,39.0656919723,0.9751361212,0.0019685000,0.0009271946
rbs,15,LP-Relax+Projection,5,28.2224380219,0.0000000000,15.0000000000,1542.5775619781,0.0224482410,28.2224380219,0.9820797607,0.0044160200,0.0006872615
rbs,20,Entropy-Relax(tau=0.1)+Greedy,5,25.8870550415,12.0384933335,15.0000000000,1559.1129449585,0.0178534966,25.8870550415,0.9834593516,0.0055986400,0.0013225057
rbs,20,Entropy-Relax(tau=0.1)+Projection,5,23.2134529223,0.5101182543,15.0000000000,1561.7865470777,0.0154624206,23.2134529223,0.9850838898,0.0042214200,0.0014763386
rbs,20,Entropy-Relax(tau=0.3)+Greedy,5,24.9404525162,7.8411644333,15.0000000000,1560.0595474838,0.0172922397,24.9404525162,0.9839997776,0.0047171800,0.0029942702
rbs,20,Entropy-Relax(tau=0.3)+Projection,5,23.1415639101,0.1435521932,15.0000000000,1561.8584360899,0.0155962207,23.1415639101,0.9851314040,0.0041242000,0.0010023003
rbs,20,Entropy-Relax(tau=0.8)+Greedy,5,25.7606773079,11.8465885442,15.0000000000,1559.2393226921,0.0182383999,25.7606773079,0.9835192054,0.0045235400,0.0023025726
rbs,20,Entropy-Relax(tau=0.8)+Projection,5,23.1367500522,0.1190060651,15.0000000000,1561.8632499478,0.0153851956,23.1367500522,0.9851345857,0.0043952800,0.0022760251
rbs,20,Greedy-Cost,5,27.3956634524,18.9057563229,15.0000000000,1557.6043365476,0.0199987515,27.3956634524,0.9825097697,0.0001453200,0.0000469365
rbs,20,Hungarian,5,23.1070810488,0.0000000000,15.0000000000,1561.8929189512,0.0151563912,23.1070810488,0.9851537952,0.0000754800,0.0000226194
rbs,20,Hybrid-Score-Greedy(alpha=0.25),5,26.9567784080,16.9101936493,15.0000000000,1558.0432215920,0.0194648415,26.9567784080,0.9827576976,0.0018640000,0.0005005146
rbs,20,LP-Relax+Projection,5,23.1070810488,0.0000000000,15.0000000000,1561.8929189512,0.0151563912,23.1070810488,0.9851537952,0.0052342400,0.0025762430
users,10,Entropy-Relax(tau=0.1)+Greedy,5,17.0775123916,14.7798434080,10.0000000000,1047.7224876084,0.0201589135,17.0775123916,0.9834901396,0.0063451800,0.0033135397
users,10,Entropy-Relax(tau=0.1)+Projection,5,16.3158597284,9.2463821766,10.0000000000,1048.4841402716,0.0179109431,16.3158597284,0.9840343059,0.0073292600,0.0039228772
users,10,Entropy-Relax(tau=0.3)+Greedy,5,17.4870493600,16.6414956714,10.0000000000,1047.3129506400,0.0182447336,17.4870493600,0.9832246011,0.0075030000,0.0055104541
users,10,Entropy-Relax(tau=0.3)+Projection,5,15.1137519215,1.1707060565,10.0000000000,1049.6862480785,0.0170392955,15.1137519215,0.9853822152,0.0072513000,0.0048546887
users,10,Entropy-Relax(tau=0.8)+Greedy,5,17.3523607877,15.7199316819,10.0000000000,1047.4476392123,0.0180921055,17.3523607877,0.9833423358,0.0059267400,0.0026473050
users,10,Entropy-Relax(tau=0.8)+Projection,5,14.9458304654,0.0217565628,10.0000000000,1049.8541695346,0.0168342184,14.9458304654,0.9855289997,0.0080254600,0.0063887887
users,10,Greedy-Cost,5,19.9684798149,35.3094107216,10.0000000000,1044.8315201851,0.0252025756,19.9684798149,0.9807341057,0.0000900400,0.0000291100
users,10,Hungarian,5,14.9421158228,0.0000000000,10.0000000000,1049.8578841772,0.0167198537,14.9421158228,0.9855337743,0.0000674200,0.0000187224
users,10,Hybrid-Score-Greedy(alpha=0.25),5,19.2799107420,30.5980944525,10.0000000000,1045.5200892580,0.0249876877,19.2799107420,0.9813360018,0.0051217800,0.0048789111
users,10,LP-Relax+Projection,5,14.9421158228,0.0000000000,10.0000000000,1049.8578841772,0.0167198537,14.9421158228,0.9855337743,0.0063896600,0.0050115418
users,15,Entropy-Relax(tau=0.1)+Greedy,5,278.4030838830,110.0706304368,12.0000000000,1333.3969161170,0.0306929762,278.4030838830,0.8287099772,0.0050337000,0.0011044726
users,15,Entropy-Relax(tau=0.1)+Projection,5,291.2666384888,126.4442628978,12.0000000000,1320.5333615112,0.0241529738,291.2666384888,0.8179421213,0.0074118800,0.0008078498
users,15,Entropy-Relax(tau=0.3)+Greedy,5,248.0680051325,90.1935602261,12.0000000000,1363.7319948675,0.0340263607,248.0680051325,0.8462895723,0.0077339999,0.0024638392
users,15,Entropy-Relax(tau=0.3)+Projection,5,289.0155232310,121.5780637280,12.0000000000,1322.7844767690,0.0259846225,289.0155232310,0.8203596131,0.0063041000,0.0021825357
users,15,Entropy-Relax(tau=0.8)+Greedy,5,254.1503607309,94.2632375946,12.0000000000,1357.6496392691,0.0364675341,254.1503607309,0.8425620937,0.0076979400,0.0033199821
users,15,Entropy-Relax(tau=0.8)+Projection,5,289.0155232310,121.5780637280,12.0000000000,1322.7844767690,0.0259846225,289.0155232310,0.8203596131,0.0061676400,0.0021252396
