scenario,x_value,seed,users,rbs,method,objective,objective_gap_pct,selected_users,expected_successful_samples,mean_packet_error,convergence_gap,fl_quality,runtime_seconds
users,20,12020,20,12,Entropy-Relax(tau=0.8)+Projection,694.9697297215,84.0247656047,12,1327.0302702785,0.0220034692,694.9697297215,0.6562958805,0.0103719999
users,20,12020,20,12,Hybrid-Score-Greedy(alpha=0.25),383.6159400885,1.5797241778,12,1638.3840599115,0.0154983218,383.6159400885,0.8102789614,0.0056657001
users,20,12021,20,12,Hungarian,406.2623675380,0.0000000000,12,1258.7376324620,0.0185384604,406.2623675380,0.7559985781,0.0000648000
users,20,12021,20,12,Greedy-Cost,417.2623416919,2.7076035176,12,1247.7376583081,0.0310320076,417.2623416919,0.7493919870,0.0000907000
users,20,12021,20,12,LP-Relax+Projection,406.2623675380,0.0000000000,12,1258.7376324620,0.0185384604,406.2623675380,0.7559985781,0.0040064000
users,20,12021,20,12,Entropy-Relax(tau=0.1)+Greedy,570.2741718082,40.3709074173,12,1094.7258281918,0.0288309600,570.2741718082,0.6574929899,0.0029321000
users,20,12021,20,12,Entropy-Relax(tau=0.1)+Projection,517.5916604448,27.4032993953,12,1147.4083395552,0.0271809817,517.5916604448,0.6891341379,0.0039388000
users,20,12021,20,12,Entropy-Relax(tau=0.3)+Greedy,592.3199627183,45.7973984418,12,1072.6800372817,0.0328434393,592.3199627183,0.6442522746,0.0029505000
users,20,12021,20,12,Entropy-Relax(tau=0.3)+Projection,626.3229252798,54.1671036565,12,1038.6770747202,0.0286138717,626.3229252798,0.6238300749,0.0035200000
users,20,12021,20,12,Entropy-Relax(tau=0.8)+Greedy,603.8925443211,48.6459471944,12,1061.1074556789,0.0389391362,603.8925443211,0.6373017752,0.0030415000
users,20,12021,20,12,Entropy-Relax(tau=0.8)+Projection,626.3229252798,54.1671036565,12,1038.6770747202,0.0286138717,626.3229252798,0.6238300749,0.0031798001
users,20,12021,20,12,Hybrid-Score-Greedy(alpha=0.25),427.6014492328,5.2525371287,12,1237.3985507672,0.0315410041,427.6014492328,0.7431823128,0.0024525000
users,20,12022,20,12,Hungarian,332.4859567137,0.0000000000,12,1564.5140432863,0.0287304831,332.4859567137,0.8247306501,0.0000603000
users,20,12022,20,12,Greedy-Cost,343.1350065401,3.2028570264,12,1553.8649934599,0.0375733552,343.1350065401,0.8191170234,0.0000852001
users,20,12022,20,12,LP-Relax+Projection,332.4859567137,0.0000000000,12,1564.5140432863,0.0287304831,332.4859567137,0.8247306501,0.0032030999
users,20,12022,20,12,Entropy-Relax(tau=0.1)+Greedy,751.8259349790,126.1226135413,12,1145.1740650210,0.0448593762,751.8259349790,0.6036763653,0.0028192000
users,20,12022,20,12,Entropy-Relax(tau=0.1)+Projection,745.9032219912,124.3412712416,12,1151.0967780088,0.0384875662,745.9032219912,0.6067985124,0.0027263000
users,20,12022,20,12,Entropy-Relax(tau=0.3)+Greedy,773.5634889310,132.6604998830,12,1123.4365110690,0.0451926759,773.5634889310,0.5922174544,0.0027355000
users,20,12022,20,12,Entropy-Relax(tau=0.3)+Projection,740.0210736329,122.5721293456,12,1156.9789263671,0.0405698157,740.0210736329,0.6098992759,0.0036552000
users,20,12022,20,12,Entropy-Relax(tau=0.8)+Greedy,771.5743230002,132.0622292221,12,1125.4256769998,0.0463171002,771.5743230002,0.5932660395,0.0039679001
users,20,12022,20,12,Entropy-Relax(tau=0.8)+Projection,773.9866770385,132.7877798775,12,1123.0133229615,0.0418440577,773.9866770385,0.5919943716,0.0058680000
users,20,12022,20,12,Hybrid-Score-Greedy(alpha=0.25),351.2319677175,5.6381361754,12,1545.7680322825,0.0464597303,351.2319677175,0.8148487255,0.0014426000
users,20,12023,20,12,Hungarian,577.0526752547,0.0000000000,12,1767.9473247453,0.0205006190,577.0526752547,0.7539221001,0.0000607000
users,20,12023,20,12,Greedy-Cost,639.8983948987,10.8908115912,12,1705.1016051013,0.0376841685,639.8983948987,0.7271222197,0.0001037001
users,20,12023,20,12,LP-Relax+Projection,577.0526752547,0.0000000000,12,1767.9473247453,0.0205006190,577.0526752547,0.7539221001,0.0042129001
users,20,12023,20,12,Entropy-Relax(tau=0.1)+Greedy,852.4690812762,47.7281222030,12,1492.5309187238,0.0327551684,852.4690812762,0.6364737393,0.0029853000
users,20,12023,20,12,Entropy-Relax(tau=0.1)+Projection,847.9752453516,46.9493655804,12,1497.0247546484,0.0301344623,847.9752453516,0.6383900873,0.0029667000
users,20,12023,20,12,Entropy-Relax(tau=0.3)+Greedy,853.0314886911,47.8255842614,12,1491.9685113089,0.0287778353,853.0314886911,0.6362339067,0.0034134000
users,20,12023,20,12,Entropy-Relax(tau=0.3)+Projection,896.0953762184,55.2883150265,12,1448.9046237816,0.0273580208,896.0953762184,0.6178697756,0.0042890001
users,20,12023,20,12,Entropy-Relax(tau=0.8)+Greedy,903.7528270579,56.6153084134,12,1441.2471729421,0.0312809877,903.7528270579,0.6146043381,0.0033499000
users,20,12023,20,12,Entropy-Relax(tau=0.8)+Projection,896.0953762184,55.2883150265,12,1448.9046237816,0.0273580208,896.0953762184,0.6178697756,0.0042127001
users,20,12023,20,12,Hybrid-Score-Greedy(alpha=0.25),590.5473029489,2.3385434767,12,1754.4526970511,0.0296460946,590.5473029489,0.7481674614,0.0018520000
users,20,12024,20,12,Hungarian,613.6636968670,0.0000000000,12,1826.3363031330,0.0213798990,613.6636968670,0.7484984849,0.0000611000
users,20,12024,20,12,Greedy-Cost,633.5294524222,3.2372381903,12,1806.4705475778,0.0245510043,633.5294524222,0.7403567818,0.0000948000
users,20,12024,20,12,LP-Relax+Projection,613.6636968670,0.0000000000,12,1826.3363031330,0.0213798990,613.6636968670,0.7484984849,0.0039212001
users,20,12024,20,12,Entropy-Relax(tau=0.1)+Greedy,706.5425044296,15.1351315121,12,1733.4574955704,0.0325472646,706.5425044296,0.7104333998,0.0087972000
users,20,12024,20,12,Entropy-Relax(tau=0.1)+Projection,711.5720683261,15.9547276397,12,1728.4279316739,0.0276374534,711.5720683261,0.7083721031,0.0032777000
users,20,12024,20,12,Entropy-Relax(tau=0.3)+Greedy,718.4735434193,17.0793623751,12,1721.5264565807,0.0371377059,718.4735434193,0.7055436297,0.0057502999
users,20,12024,20,12,Entropy-Relax(tau=0.3)+Projection,711.5720683261,15.9547276397,12,1728.4279316739,0.0276374534,711.5720683261,0.7083721031,0.0075512000
users,20,12024,20,12,Entropy-Relax(tau=0.8)+Greedy,736.3041128632,19.9849553790,12,1703.6958871368,0.0413242022,736.3041128632,0.6982360193,0.0034826000
users,20,12024,20,12,Entropy-Relax(tau=0.8)+Projection,711.1185547025,15.8808250077,12,1728.8814452975,0.0271971776,711.1185547025,0.7085579694,0.0047557000
users,20,12024,20,12,Hybrid-Score-Greedy(alpha=0.25),628.2189349558,2.3718590758,12,1811.7810650442,0.0220001597,628.2189349558,0.7425332234,0.0014394000
users,30,13030,30,12,Hungarian,1327.8341307071,0.0000000000,12,1967.1658692929,0.0327204683,1327.8341307071,0.5970154383,0.0000664000
users,30,13030,30,12,Greedy-Cost,1340.0776369444,0.9220659384,12,1954.9223630556,0.0389802900,1340.0776369444,0.5932996549,0.0002391000
users,30,13030,30,12,LP-Relax+Projection,1327.8341307071,0.0000000000,12,1967.1658692929,0.0327204683,1327.8341307071,0.5970154383,0.0048076001
users,30,13030,30,12,Entropy-Relax(tau=0.1)+Greedy,1621.5402050300,22.1191839802,12,1673.4597949700,0.0401311945,1621.5402050300,0.5078785417,0.0076320000
users,30,13030,30,12,Entropy-Relax(tau=0.1)+Projection,1621.5402050300,22.1191839802,12,1673.4597949700,0.0401311945,1621.5402050300,0.5078785417,0.0030972000
users,30,13030,30,12,Entropy-Relax(tau=0.3)+Greedy,1643.2111846251,23.7512386995,12,1651.7888153749,0.0523930666,1643.2111846251,0.5013016132,0.0029897999
users,30,13030,30,12,Entropy-Relax(tau=0.3)+Projection,1599.6682538345,20.4719939668,12,1695.3317461655,0.0456807701,1599.6682538345,0.5145164632,0.0029334000
users,30,13030,30,12,Entropy-Relax(tau=0.8)+Greedy,1673.8511254966,26.0587513747,12,1621.1488745034,0.0469798777,1673.8511254966,0.4920026933,0.0043162000
users,30,13030,30,12,Entropy-Relax(tau=0.8)+Projection,1589.3122776269,19.6920790687,12,1705.6877223731,0.0464611608,1589.3122776269,0.5176593998,0.0045186999
users,30,13030,30,12,Hybrid-Score-Greedy(alpha=0.25),1345.7661127193,1.3504685260,12,1949.2338872807,0.0424065295,1345.7661127193,0.5915732587,0.0020501000
users,30,13031,30,12,Hungarian,1370.1419811949,0.0000000000,12,1662.8580188051,0.0150944016,1370.1419811949,0.5482551991,0.0000649000
users,30,13031,30,12,Greedy-Cost,1385.0277238699,1.0864379662,12,1647.9722761301,0.0260326121,1385.0277238699,0.5433472721,0.0001217000
users,30,13031,30,12,LP-Relax+Projection,1370.1419811949,0.0000000000,12,1662.8580188051,0.0150944016,1370.1419811949,0.5482551991,0.0032147000
users,30,13031,30,12,Entropy-Relax(tau=0.1)+Greedy,1705.9837295683,24.5114559646,12,1327.0162704317,0.0378819558,1705.9837295683,0.4375259711,0.0037813000
